CustomerID,Card Member,Age,Annual Income,Spending Score (1-100)
1,Yes,19,15000,39
2,Yes,21,15000,81
3,No,20,16000,6
4,No,23,16000,77
5,No,31,17000,40
6,No,22,17000,76
7,No,35,18000,6
8,No,23,18000,94
9,Yes,64,19000,3
10,No,30,19000,72
11,Yes,67,19000,14
12,No,35,19000,99
13,No,58,20000,15
14,No,24,20000,77
15,,,20000,11
16,Yes,37,20000,13
17,Yes,22,20000,79
18,No,35,21000,35
19,Yes,20,21000,66
20,Yes,52,23000,29
21,No,35,23000,98
22,Yes,35,24000,35
23,Yes,25,24000,73
24,No,46,25000,5
25,Yes,31,25000,73
26,No,54,28000,14
27,Yes,29,28000,82
28,No,45,28000,32
29,Yes,35,28000,61
30,No,40,29000,31
31,No,23,29000,87
32,Yes,,30000,
33,Yes,60,30000,4
34,No,21,30000,73
35,Yes,53,33000,4
36,Yes,18,33000,92
37,No,49,33000,14
38,No,21,33000,81
39,No,42,34000,17
40,No,30,34000,73
41,No,36,37000,26
42,No,20,37000,75
43,No,65,38000,35
44,Yes,24,38000,92
45,Yes,48,39000,36
46,No,31,39000,61
47,No,49,39000,28
48,No,24,39000,65
49,No,50,40000,55
50,No,27,40000,47
51,No,29,40000,42
52,No,31,40000,42
53,No,49,42000,52
54,Yes,33,42000,60
55,No,31,43000,54
56,Yes,59,43000,60
57,No,50,43000,45
58,Yes,47,43000,41
59,No,51,44000,50
60,Yes,69,44000,46
61,No,27,46000,51
62,Yes,53,46000,46
63,Yes,70,46000,56
64,Yes,19,46000,55
65,No,67,47000,52
66,No,54,47000,59
67,Yes,63,48000,51
68,Yes,18,48000,59
69,No,43,48000,50
70,No,68,48000,48
71,Yes,19,48000,59
72,No,32,48000,47
73,Yes,70,49000,55
74,No,47,49000,42
75,No,60,50000,49
76,No,60,50000,56
77,Yes,59,54000,47
78,Yes,26,54000,54
79,No,45,54000,53
80,Yes,40,54000,48
81,No,23,54000,52
82,No,49,54000,42
83,Yes,57,54000,51
84,Yes,38,54000,55
85,Yes,67,54000,41
86,No,46,54000,44
87,No,21,54000,57
88,Yes,48,54000,46
89,No,55,57000,58
90,No,22,57000,55
91,No,34,58000,60
92,No,50,58000,46
93,No,68,59000,55
94,Yes,18,59000,41
95,Yes,48,60000,49
96,No,40,60000,40
97,No,32,60000,42
98,Yes,24,60000,52
99,No,47,60000,47
100,No,27,60000,50
101,Yes,48,61000,42
102,Yes,20,61000,49
103,No,23,62000,41
104,No,49,62000,48
105,Yes,67,62000,59
106,Yes,26,62000,55
107,Yes,49,62000,56
108,No,21,62000,42
109,No,66,63000,50
110,Yes,54,63000,46
111,Yes,68,63000,43
112,Yes,66,63000,48
113,Yes,65,63000,52
114,No,19,63000,54
115,No,38,64000,42
116,Yes,19,64000,46
117,No,18,65000,48
118,No,19,65000,50
119,No,63,65000,43
120,No,49,65000,59
121,No,51,67000,43
122,No,50,67000,57
123,Yes,27,67000,56
124,No,38,67000,40
125,No,40,69000,58
126,Yes,39,69000,91
127,No,23,70000,29
128,No,31,70000,77
129,Yes,43,71000,35
130,Yes,40,71000,95
131,Yes,59,71000,11
132,Yes,38,71000,75
133,Yes,47,71000,9
134,Yes,39,71000,75
135,No,25,72000,34
136,No,31,72000,71
137,Yes,20,73000,5
138,No,29,73000,88
139,No,44,73000,7
140,Yes,32,73000,73
141,Yes,19,74000,10
142,No,35,74000,72
143,No,57,75000,5
144,Yes,32,75000,93
145,No,28,76000,40
146,No,32,76000,87
147,Yes,25,77000,12
148,Yes,28,77000,97
149,Yes,48,77000,36
150,No,32,77000,74
151,No,34,78000,22
152,Yes,34,78000,90
153,Yes,43,78000,17
154,Yes,39,78000,88
155,No,44,78000,20
156,No,38,78000,76
157,No,47,78000,16
158,No,27,78000,89
159,Yes,37,78000,1
160,No,30,78000,78
161,Yes,34,78000,1
162,No,30,78000,73
163,No,56,79000,35
164,No,29,79000,83
165,Yes,19,81000,5
166,No,31,81000,93
167,Yes,50,85000,26
168,No,36,85000,75
169,Yes,42,86000,20
170,No,33,86000,95
171,No,36,87000,27
172,Yes,32,87000,63
173,Yes,40,87000,13
174,Yes,28,87000,75
175,Yes,36,87000,10
176,Yes,36,87000,92
177,,22,87000,44
178,No,52,88000,13
179,No,30,88000,86
180,Yes,58,88000,15
181,Yes,27,88000,69
182,Yes,59,93000,14
183,Yes,35,93000,90
184,No,37,97000,32
185,No,32,97000,86
186,Yes,46,98000,15
187,No,29,98000,88
188,No,41,99000,39
189,Yes,30,99000,97
190,No,54,101000,24
191,Yes,28,101000,68
192,No,41,103000,17
193,No,36,103000,85
194,No,34,103000,23
195,No,32,103000,69
196,Yes,33,113000,8
197,No,38,113000,91
198,No,47,120000,16
199,No,35,120000,79
200,No,45,126000,28
201,Yes,32,126000,74
202,Yes,32,137000,18
203,Yes,30,137000,83