Card_member,Age,Annual_income,Spending Score (1-100)
1,19.0,15.0,39.0
1,21.0,15.0,81.0
0,20.0,16.0,6.0
0,23.0,16.0,77.0
0,31.0,17.0,40.0
0,22.0,17.0,76.0
0,35.0,18.0,6.0
0,23.0,18.0,94.0
1,64.0,19.0,3.0
0,30.0,19.0,72.0
1,67.0,19.0,14.0
0,35.0,19.0,99.0
0,58.0,20.0,15.0
0,24.0,20.0,77.0
1,37.0,20.0,13.0
1,22.0,20.0,79.0
0,35.0,21.0,35.0
1,20.0,21.0,66.0
1,52.0,23.0,29.0
0,35.0,23.0,98.0
1,35.0,24.0,35.0
1,25.0,24.0,73.0
0,46.0,25.0,5.0
1,31.0,25.0,73.0
0,54.0,28.0,14.0
1,29.0,28.0,82.0
0,45.0,28.0,32.0
1,35.0,28.0,61.0
0,40.0,29.0,31.0
0,23.0,29.0,87.0
1,60.0,30.0,4.0
0,21.0,30.0,73.0
1,53.0,33.0,4.0
1,18.0,33.0,92.0
0,49.0,33.0,14.0
0,21.0,33.0,81.0
0,42.0,34.0,17.0
0,30.0,34.0,73.0
0,36.0,37.0,26.0
0,20.0,37.0,75.0
0,65.0,38.0,35.0
1,24.0,38.0,92.0
1,48.0,39.0,36.0
0,31.0,39.0,61.0
0,49.0,39.0,28.0
0,24.0,39.0,65.0
0,50.0,40.0,55.0
0,27.0,40.0,47.0
0,29.0,40.0,42.0
0,31.0,40.0,42.0
0,49.0,42.0,52.0
1,33.0,42.0,60.0
0,31.0,43.0,54.0
1,59.0,43.0,60.0
0,50.0,43.0,45.0
1,47.0,43.0,41.0
0,51.0,44.0,50.0
1,69.0,44.0,46.0
0,27.0,46.0,51.0
1,53.0,46.0,46.0
1,70.0,46.0,56.0
1,19.0,46.0,55.0
0,67.0,47.0,52.0
0,54.0,47.0,59.0
1,63.0,48.0,51.0
1,18.0,48.0,59.0
0,43.0,48.0,50.0
0,68.0,48.0,48.0
1,19.0,48.0,59.0
0,32.0,48.0,47.0
1,70.0,49.0,55.0
0,47.0,49.0,42.0
0,60.0,50.0,49.0
0,60.0,50.0,56.0
1,59.0,54.0,47.0
1,26.0,54.0,54.0
0,45.0,54.0,53.0
1,40.0,54.0,48.0
0,23.0,54.0,52.0
0,49.0,54.0,42.0
1,57.0,54.0,51.0
1,38.0,54.0,55.0
1,67.0,54.0,41.0
0,46.0,54.0,44.0
0,21.0,54.0,57.0
1,48.0,54.0,46.0
0,55.0,57.0,58.0
0,22.0,57.0,55.0
0,34.0,58.0,60.0
0,50.0,58.0,46.0
0,68.0,59.0,55.0
1,18.0,59.0,41.0
1,48.0,60.0,49.0
0,40.0,60.0,40.0
0,32.0,60.0,42.0
1,24.0,60.0,52.0
0,47.0,60.0,47.0
0,27.0,60.0,50.0
1,48.0,61.0,42.0
1,20.0,61.0,49.0
0,23.0,62.0,41.0
0,49.0,62.0,48.0
1,67.0,62.0,59.0
1,26.0,62.0,55.0
1,49.0,62.0,56.0
0,21.0,62.0,42.0
0,66.0,63.0,50.0
1,54.0,63.0,46.0
1,68.0,63.0,43.0
1,66.0,63.0,48.0
1,65.0,63.0,52.0
0,19.0,63.0,54.0
0,38.0,64.0,42.0
1,19.0,64.0,46.0
0,18.0,65.0,48.0
0,19.0,65.0,50.0
0,63.0,65.0,43.0
0,49.0,65.0,59.0
0,51.0,67.0,43.0
0,50.0,67.0,57.0
1,27.0,67.0,56.0
0,38.0,67.0,40.0
0,40.0,69.0,58.0
1,39.0,69.0,91.0
0,23.0,70.0,29.0
0,31.0,70.0,77.0
1,43.0,71.0,35.0
1,40.0,71.0,95.0
1,59.0,71.0,11.0
1,38.0,71.0,75.0
1,47.0,71.0,9.0
1,39.0,71.0,75.0
0,25.0,72.0,34.0
0,31.0,72.0,71.0
1,20.0,73.0,5.0
0,29.0,73.0,88.0
0,44.0,73.0,7.0
1,32.0,73.0,73.0
1,19.0,74.0,10.0
0,35.0,74.0,72.0
0,57.0,75.0,5.0
1,32.0,75.0,93.0
0,28.0,76.0,40.0
0,32.0,76.0,87.0
1,25.0,77.0,12.0
1,28.0,77.0,97.0
1,48.0,77.0,36.0
0,32.0,77.0,74.0
0,34.0,78.0,22.0
1,34.0,78.0,90.0
1,43.0,78.0,17.0
1,39.0,78.0,88.0
0,44.0,78.0,20.0
0,38.0,78.0,76.0
0,47.0,78.0,16.0
0,27.0,78.0,89.0
1,37.0,78.0,1.0
0,30.0,78.0,78.0
1,34.0,78.0,1.0
0,30.0,78.0,73.0
0,56.0,79.0,35.0
0,29.0,79.0,83.0
1,19.0,81.0,5.0
0,31.0,81.0,93.0
1,50.0,85.0,26.0
0,36.0,85.0,75.0
1,42.0,86.0,20.0
0,33.0,86.0,95.0
0,36.0,87.0,27.0
1,32.0,87.0,63.0
1,40.0,87.0,13.0
1,28.0,87.0,75.0
1,36.0,87.0,10.0
1,36.0,87.0,92.0
0,52.0,88.0,13.0
0,30.0,88.0,86.0
1,58.0,88.0,15.0
1,27.0,88.0,69.0
1,59.0,93.0,14.0
1,35.0,93.0,90.0
0,37.0,97.0,32.0
0,32.0,97.0,86.0
1,46.0,98.0,15.0
0,29.0,98.0,88.0
0,41.0,99.0,39.0
1,30.0,99.0,97.0
0,54.0,101.0,24.0
1,28.0,101.0,68.0
0,41.0,103.0,17.0
0,36.0,103.0,85.0
0,34.0,103.0,23.0
0,32.0,103.0,69.0
1,33.0,113.0,8.0
0,38.0,113.0,91.0
0,47.0,120.0,16.0
0,35.0,120.0,79.0
0,45.0,126.0,28.0
1,32.0,126.0,74.0
1,32.0,137.0,18.0
1,30.0,137.0,83.0
